age,monthly_income,loan_amount,loan_term_months,past_due,employment_type,has_mortgage,num_prev_loans,credit_utilization,default
28,4153,1681,24,no,unemployed,yes,2,0.444,1
65,3912,2812,48,no,employed,yes,3,0.267,0
66,5921,5746,12,no,employed,no,3,0.671,0
50,5819,7250,48,no,unemployed,no,3,0.281,1
29,4194,4483,48,yes,employed,no,1,0.118,0
28,5390,7786,48,no,employed,no,1,0.561,0
34,8458,5868,24,no,employed,no,2,0.169,0
49,4388,5937,60,no,employed,no,1,0.245,0
28,3212,4897,48,no,employed,yes,0,0.125,0
43,7885,11414,12,yes,employed,no,2,0.38,0
26,6984,10170,24,yes,employed,no,1,0.258,0
47,4758,7768,48,no,employed,no,2,0.292,0
22,2835,1208,24,yes,employed,no,3,0.095,0
55,4510,6069,12,yes,unemployed,no,2,0.37,0
23,5890,10325,24,no,employed,yes,0,0.122,0
30,8331,9667,24,no,employed,yes,1,0.325,0
29,3926,2457,36,no,self-employed,no,0,0.192,0
61,5830,10483,48,no,employed,no,3,0.314,0
23,7350,4130,24,yes,employed,no,0,0.177,0
42,1500,1205,48,no,employed,yes,3,0.306,1
49,8067,4502,24,no,employed,no,1,0.274,0
46,3635,3623,24,yes,unemployed,yes,1,0.297,1
54,6663,6185,24,no,employed,yes,1,0.41,0
60,6493,6732,48,no,unemployed,yes,5,0.264,0
40,8169,13821,60,no,employed,no,3,0.464,0
61,7101,7225,36,no,employed,yes,5,0.305,0
36,1500,1607,12,no,employed,yes,2,0.14,0
69,4430,7221,24,no,employed,yes,4,0.688,0
45,6276,9581,24,no,employed,no,1,0.329,0
57,5610,3700,60,no,self-employed,yes,0,0.334,0
63,6955,2221,12,no,employed,yes,2,0.228,0
59,7578,9428,60,no,self-employed,no,1,0.322,0
62,7216,11309,36,no,unemployed,no,1,0.01,0
47,5571,6291,36,no,employed,no,1,0.662,0
23,2307,1422,60,yes,unemployed,no,8,0.577,0
45,5089,7185,12,no,employed,no,1,0.094,0
29,6832,8911,48,no,employed,no,6,0.551,0
64,3819,4382,12,no,employed,no,1,0.348,0
32,7262,11582,60,no,employed,no,0,0.157,1
32,7816,11539,36,no,employed,yes,1,0.296,0
33,6253,8140,12,no,employed,yes,3,0.211,0
52,1500,1945,60,no,unemployed,yes,4,0.27,1
48,3443,4452,12,no,employed,no,3,0.292,0
67,9772,10629,12,no,self-employed,no,2,0.174,0
41,4906,4885,48,no,employed,yes,1,0.219,0
34,2031,2771,36,yes,employed,no,4,0.393,0
23,8470,10297,60,no,employed,no,1,0.172,0
21,6026,6236,48,no,employed,no,2,0.613,0
39,8209,4022,48,no,employed,yes,2,0.347,0
66,6553,8865,24,no,self-employed,no,1,0.505,0
46,6917,8777,12,yes,employed,yes,4,0.119,0
64,6726,5470,60,no,employed,yes,2,0.169,0
25,7394,6170,12,no,self-employed,no,5,0.326,0
25,10554,7072,36,no,self-employed,yes,4,0.514,0
61,7942,13841,24,no,unemployed,no,1,0.244,0
26,2839,4514,24,yes,employed,yes,4,0.457,0
23,6893,7868,36,no,self-employed,no,1,0.125,0
40,8282,7474,48,no,employed,yes,3,0.272,0
66,8405,11811,48,no,self-employed,no,3,0.775,0
54,5146,5617,60,no,employed,yes,2,0.041,0
25,8329,14690,24,no,employed,no,2,0.309,0
62,7855,3005,36,no,unemployed,yes,2,0.231,0
62,11145,3916,12,no,self-employed,no,1,0.266,0
60,4499,5186,48,yes,employed,no,3,0.054,0
65,4985,3015,24,yes,employed,no,0,0.551,1
32,5387,6499,36,no,self-employed,yes,2,0.093,0
68,5019,7388,24,yes,employed,no,1,0.051,0
36,4219,2139,60,no,employed,no,0,0.138,0
60,1500,1441,60,yes,employed,no,2,0.054,0
49,5130,6838,60,yes,employed,no,2,0.15,0
59,6738,10449,12,no,employed,no,1,0.202,0
51,5013,5236,60,no,self-employed,no,2,0.373,0
52,9870,6013,24,no,employed,no,2,0.425,0
51,6026,7102,24,no,self-employed,yes,2,0.215,0
59,8582,8425,24,no,unemployed,yes,0,0.344,0
57,6522,9508,24,no,employed,no,1,0.125,0
27,7652,8672,36,no,self-employed,no,3,0.276,0
61,6558,4716,24,no,employed,no,4,0.09,0
47,8737,12507,36,no,unemployed,yes,0,0.124,1
36,6111,6579,48,no,employed,no,0,0.294,0
46,6992,3959,60,no,employed,no,2,0.334,0
68,6732,7705,48,no,employed,no,5,0.428,0
63,5423,9341,36,no,unemployed,no,2,0.436,0
61,6809,9248,12,no,employed,yes,0,0.403,0
43,10468,7832,60,no,self-employed,yes,2,0.421,0
59,5459,7458,12,no,employed,yes,2,0.369,0
39,6838,4950,24,no,employed,no,1,0.683,0
54,8515,9485,12,no,employed,no,1,0.433,0
52,8280,9024,48,no,employed,yes,0,0.142,0
33,6023,4041,36,no,employed,yes,2,0.172,0
34,1500,1232,48,no,employed,no,2,0.346,0
23,7033,12049,24,no,self-employed,no,2,0.106,0
27,1561,1055,36,yes,self-employed,no,2,0.327,0
42,8939,13422,36,no,employed,no,0,0.377,0
44,6338,8246,12,no,employed,no,3,0.622,1
29,7999,8790,36,no,employed,no,4,0.671,0
41,4195,2123,48,no,self-employed,no,0,0.309,0
50,2894,1756,36,no,self-employed,yes,3,0.152,0
32,6521,3706,12,no,unemployed,yes,2,0.348,0
37,5932,7000,48,no,unemployed,yes,3,0.065,1
39,5016,8828,24,no,employed,no,5,0.01,0
45,6169,9968,12,yes,employed,no,5,0.116,0
38,11534,3897,24,no,unemployed,yes,1,0.071,0
57,7669,5449,36,no,employed,no,2,0.034,0
37,8098,4339,24,no,employed,no,1,0.425,0
42,7687,13556,48,no,employed,yes,2,0.277,0
39,8958,5853,24,no,self-employed,no,1,0.302,1
29,5619,3382,48,no,self-employed,no,4,0.151,0
54,1890,2327,24,yes,unemployed,yes,0,0.498,0
32,5622,6376,48,yes,employed,no,1,0.334,0
35,7623,4869,48,no,employed,yes,5,0.214,0
59,4060,5300,36,yes,employed,no,2,0.295,0
67,5647,2515,12,no,self-employed,no,3,0.384,0
53,4616,1518,36,no,employed,no,0,0.1,0
65,9004,3814,60,no,unemployed,no,0,0.044,0
62,7498,6353,60,yes,employed,yes,1,0.159,0
44,7303,12871,24,yes,self-employed,no,2,0.657,0
58,7243,8118,48,no,self-employed,no,2,0.167,0
37,5925,8485,24,no,employed,yes,3,0.16,0
43,6395,5002,24,yes,self-employed,no,1,0.117,0
47,3629,5004,48,no,employed,yes,1,0.207,0
68,1627,2846,36,yes,self-employed,yes,5,0.117,0
62,6300,5270,36,yes,self-employed,no,3,0.075,1
44,6647,11955,60,no,employed,no,1,0.739,0
52,8418,10586,24,no,employed,no,1,0.142,0
30,9142,13008,48,no,unemployed,no,1,0.205,0
60,9139,6198,36,no,unemployed,no,2,0.106,0
48,4003,5062,12,no,employed,no,3,0.094,0
47,5295,5647,36,yes,unemployed,no,2,0.199,0
58,6960,12072,60,no,employed,no,1,0.846,0
52,11063,18331,36,yes,employed,no,2,0.146,0
24,8960,8019,12,no,employed,no,0,0.1,0
35,8238,14171,48,no,employed,yes,2,0.394,0
29,5224,8500,60,no,employed,no,1,0.47,0
57,4233,5018,60,yes,self-employed,yes,2,0.353,0
22,7577,3206,36,no,employed,no,1,0.129,0
30,3798,2055,36,no,employed,no,2,0.079,0
50,5523,2293,36,no,self-employed,no,0,0.359,0
55,5770,2665,60,no,self-employed,no,2,0.378,0
45,9185,16215,60,no,unemployed,no,1,0.04,0
63,5290,3270,60,no,employed,yes,1,0.048,0
66,1500,2004,36,no,self-employed,no,2,0.286,0
27,7008,8793,12,no,employed,no,3,0.189,0
67,4601,5736,36,no,employed,yes,1,0.254,1
51,6085,3712,24,no,self-employed,yes,0,0.224,0
52,5826,6810,12,no,employed,no,0,0.518,1
25,5452,6751,36,no,self-employed,no,1,0.173,0
51,7580,8759,48,no,employed,no,2,0.481,0
56,2934,1699,60,no,employed,no,2,0.304,0
49,4965,6874,48,no,employed,no,2,0.258,0
25,7368,3019,60,no,employed,yes,2,0.202,0
46,4771,5662,48,no,employed,no,5,0.074,0
66,2782,2655,48,no,employed,no,3,0.315,0
56,7337,4955,12,no,employed,no,1,0.512,0
27,8246,12460,48,no,self-employed,no,1,0.227,0
68,5910,3332,12,no,employed,yes,2,0.426,0
67,2078,3531,12,yes,employed,yes,2,0.404,1
29,7411,12056,24,no,employed,no,1,0.267,0
60,2680,2253,60,no,employed,no,3,0.471,0
40,6617,5013,48,no,employed,no,1,0.139,0
50,4225,2138,60,yes,self-employed,no,2,0.308,0
42,3680,6162,60,no,unemployed,no,4,0.389,0
59,5116,6350,60,no,employed,no,2,0.224,0
69,5633,1958,12,no,self-employed,yes,1,0.414,0
59,4711,5024,60,yes,employed,yes,2,0.345,0
66,7177,3076,60,yes,employed,no,2,0.17,0
67,5107,5927,60,yes,employed,yes,1,0.111,0
25,7960,8465,24,no,employed,yes,2,0.172,0
33,6562,2784,12,no,employed,yes,1,0.1,0
56,4604,7015,60,no,employed,no,3,0.231,0
49,4268,2959,24,no,employed,yes,1,0.093,0
23,2705,3008,36,yes,employed,yes,3,0.223,0
25,6581,8282,36,no,employed,no,0,0.01,0
46,5290,9222,12,yes,self-employed,no,4,0.012,0
51,1500,1561,12,yes,unemployed,yes,2,0.371,0
29,4928,8259,60,yes,employed,no,3,0.113,0
29,4197,3493,60,no,employed,no,2,0.654,0
27,9151,14514,60,no,employed,no,1,0.387,0
48,2594,1695,24,no,unemployed,no,2,0.353,0
21,3117,4242,24,yes,employed,yes,3,0.294,0
49,8219,3558,36,no,employed,yes,2,0.369,0
44,8713,15501,36,no,unemployed,no,5,0.01,0
43,4510,7806,12,no,employed,yes,2,0.224,0
54,4735,4561,48,yes,employed,no,0,0.361,0
46,7232,7853,60,no,unemployed,yes,1,0.31,0
56,1500,1794,36,no,unemployed,no,3,0.504,0
58,2277,1622,36,no,employed,no,0,0.321,0
66,5438,7133,36,no,employed,no,3,0.482,0
60,9099,12264,12,no,employed,yes,0,0.177,0
46,5128,5577,24,no,employed,yes,0,0.216,0
45,6201,3234,36,yes,employed,no,1,0.515,0
32,8267,13878,36,yes,employed,yes,2,0.04,0
50,10213,4826,36,no,employed,no,1,0.397,0
27,4846,6027,60,yes,self-employed,no,2,0.31,0
66,5966,2712,24,no,unemployed,yes,2,0.192,0
62,9644,5006,12,no,self-employed,no,1,0.128,0
26,2955,977,12,no,employed,yes,1,0.099,0
59,8055,6806,12,yes,employed,no,0,0.698,0
26,3963,4990,36,no,employed,no,0,0.177,0
56,6204,6714,60,no,employed,no,1,0.464,0
25,5514,7233,60,no,employed,no,2,0.332,0
44,4083,5359,48,no,self-employed,no,1,0.144,0
53,4033,2057,36,no,employed,yes,0,0.087,0
56,6552,2529,24,no,employed,yes,2,0.323,0
41,7991,9893,36,no,employed,yes,6,0.132,0
66,5740,7346,24,no,unemployed,no,2,0.38,0
58,6140,6969,60,yes,self-employed,no,0,0.102,0
31,7142,4775,36,no,employed,no,1,0.385,0
53,4056,6149,24,no,employed,no,0,0.37,0
56,7479,3092,24,yes,unemployed,no,2,0.475,1
37,7638,9535,12,no,employed,yes,2,0.541,1
57,11207,5386,60,no,employed,yes,3,0.233,0
65,5247,6724,12,yes,self-employed,no,2,0.617,1
61,5083,4709,12,no,self-employed,yes,1,0.4,0
58,7537,10379,24,no,employed,yes,4,0.189,1
52,7638,2889,60,yes,unemployed,yes,3,0.185,1
34,4929,5582,36,no,employed,no,2,0.724,0
59,5193,2686,48,no,employed,yes,3,0.379,0
38,7082,9373,36,no,employed,no,3,0.361,0
47,4344,2084,12,no,employed,yes,4,0.284,0
36,5178,2124,60,no,employed,yes,1,0.303,0
36,6179,8463,24,no,self-employed,no,0,0.382,0
28,7991,3158,12,no,unemployed,no,3,0.293,0
68,4790,3050,36,no,employed,no,1,0.521,0
28,2315,3558,12,no,self-employed,yes,2,0.29,0
25,2166,3280,12,no,unemployed,no,5,0.509,0
66,3481,5504,60,no,employed,no,1,0.421,0
48,3373,2661,36,no,self-employed,no,3,0.514,0
42,5690,6213,24,yes,unemployed,yes,1,0.204,1
57,3622,5288,24,no,self-employed,no,1,0.288,0
39,4594,2322,48,no,employed,yes,2,0.247,0
27,4451,6171,12,no,unemployed,no,3,0.05,0
56,5118,2283,12,no,self-employed,no,3,0.505,0
29,8645,14436,48,no,employed,no,3,0.248,0
48,7323,9197,48,no,employed,yes,1,0.305,0
67,6032,6273,60,no,employed,yes,2,0.407,0
66,5077,5214,36,no,employed,yes,3,0.261,0
38,5133,2936,12,yes,employed,no,0,0.093,0
59,6655,5449,36,yes,employed,yes,0,0.187,0
51,7168,9968,48,no,self-employed,yes,2,0.202,0
44,4184,4650,12,no,self-employed,no,0,0.102,0
27,6072,6642,36,yes,employed,yes,1,0.475,1
39,1936,1147,24,yes,employed,no,3,0.274,0
52,6423,8578,60,no,employed,yes,2,0.627,1
69,7524,6681,60,no,employed,no,0,0.335,0
21,5439,3122,36,no,employed,no,3,0.333,0
56,9633,16527,60,no,employed,no,1,0.297,0
62,4237,4492,60,no,unemployed,no,1,0.552,0
67,6434,7026,12,no,employed,no,1,0.281,0
41,5928,10504,36,no,employed,no,2,0.06,0
26,5799,4926,48,yes,unemployed,yes,2,0.126,0
34,5771,9894,12,no,employed,no,1,0.113,0
62,6214,8341,36,yes,employed,no,2,0.136,0
64,7695,9616,24,yes,employed,no,1,0.619,0
52,8755,5704,60,yes,self-employed,no,3,0.232,1
27,5995,2263,36,yes,employed,no,4,0.259,0
26,7630,7299,48,no,self-employed,no,2,0.193,0
44,4596,1448,36,no,employed,no,1,0.223,0
49,7531,3061,12,no,unemployed,yes,1,0.298,0
22,4476,5339,60,no,employed,no,4,0.467,1
54,8181,11344,12,no,self-employed,yes,3,0.587,0
47,10421,5751,12,yes,self-employed,no,1,0.345,0
21,5755,8049,36,no,employed,yes,4,0.28,0
25,1614,2783,48,no,self-employed,no,2,0.044,1
43,4903,6936,24,no,self-employed,no,2,0.165,0
56,8463,12500,12,no,employed,no,2,0.309,0
61,7106,9600,24,yes,self-employed,no,1,0.533,0
42,6497,4139,24,no,employed,yes,4,0.728,0
35,8017,6744,12,no,employed,no,0,0.526,0
68,6968,12012,36,no,employed,yes,3,0.062,0
43,8435,10896,12,yes,employed,yes,4,0.194,0
36,7838,11627,24,no,employed,no,5,0.22,0
42,9043,15852,48,no,employed,no,3,0.553,0
21,6717,4346,48,no,employed,no,1,0.122,0
35,7810,6111,24,no,employed,yes,2,0.374,0
46,5385,6823,24,yes,employed,no,0,0.642,0
66,4797,1614,24,no,employed,yes,2,0.507,0
57,9413,10889,60,yes,unemployed,yes,0,0.506,0
59,6432,9731,24,yes,self-employed,yes,1,0.261,0
47,7609,9249,24,no,employed,no,0,0.159,0
26,6247,4642,36,no,employed,no,4,0.272,0
40,4826,6689,24,no,employed,yes,4,0.154,0
69,6021,3125,24,yes,employed,yes,1,0.366,0
23,8871,14567,12,yes,employed,no,3,0.596,0
64,7110,3209,48,no,self-employed,no,2,0.01,0
54,2577,4110,48,no,employed,yes,2,0.152,0
34,5569,5829,48,yes,employed,no,1,0.422,0
59,9564,9018,48,no,self-employed,no,3,0.121,0
62,5572,5856,24,yes,employed,no,2,0.135,0
23,2399,1440,60,no,self-employed,yes,0,0.715,0
26,9786,9654,48,no,unemployed,no,0,0.28,0
53,7364,11595,60,no,employed,no,2,0.473,0
69,5859,8796,48,no,self-employed,no,3,0.293,0
22,5257,2862,36,no,self-employed,no,1,0.319,0
53,8164,10695,24,no,employed,no,4,0.25,0
27,4916,7793,36,no,employed,no,4,0.436,0
52,8296,12689,12,no,self-employed,no,2,0.037,0
51,7084,6647,36,no,employed,yes,0,0.354,1
25,6489,2414,12,no,employed,no,0,0.069,0
54,6291,10674,12,no,employed,yes,2,0.293,0
64,5650,5050,60,yes,employed,no,1,0.103,0
63,8091,6808,48,yes,employed,no,1,0.728,1
22,4269,6144,36,yes,unemployed,yes,3,0.306,0
33,2756,1918,24,no,employed,no,2,0.072,0
32,7228,11218,36,yes,employed,no,4,0.329,0
43,7262,3007,60,no,self-employed,no,2,0.454,0
28,6960,9821,48,no,employed,no,4,0.214,0
62,6815,11917,48,yes,self-employed,yes,1,0.437,0
59,5358,9610,36,no,employed,yes,3,0.158,0
60,7574,12767,24,no,employed,no,5,0.308,0
30,5908,9489,48,no,employed,no,1,0.241,0
21,5025,3609,60,no,unemployed,no,0,0.769,0
65,5376,9407,36,yes,unemployed,no,2,0.257,0
35,10041,16987,36,no,employed,no,0,0.668,0
53,2530,2786,36,no,employed,no,6,0.131,0
65,6999,6320,36,yes,employed,no,4,0.386,0
22,2641,1225,60,yes,unemployed,no,1,0.01,0
21,5783,6858,48,no,self-employed,no,6,0.468,1
21,5132,6932,36,no,employed,no,0,0.476,0
28,1829,1657,36,no,unemployed,yes,4,0.357,0
23,6778,6161,36,no,employed,no,4,0.169,0
61,5239,6077,12,no,employed,yes,2,0.092,0
50,1801,615,36,no,employed,no,0,0.649,0
69,7679,13336,60,yes,employed,no,0,0.032,0
60,8870,6518,48,yes,employed,no,3,0.152,0
68,8980,4591,24,no,employed,yes,0,0.485,0
32,6717,2070,48,no,self-employed,no,1,0.191,0
35,6092,9657,48,yes,unemployed,yes,6,0.154,1
62,8656,13804,24,yes,employed,no,0,0.269,0
32,9364,4147,48,yes,employed,no,2,0.273,0
23,8267,4367,48,no,self-employed,no,2,0.053,0
53,4116,4000,60,no,employed,yes,3,0.49,0
60,6402,3703,12,no,self-employed,no,3,0.233,0
68,6879,9656,24,yes,employed,no,1,0.319,0
66,2380,921,36,no,employed,no,5,0.129,0
26,6938,7802,12,no,unemployed,no,0,0.294,0
58,10545,9218,36,no,employed,no,4,0.127,0
62,7279,7260,48,no,employed,no,0,0.212,0
55,8946,8383,12,no,employed,yes,1,0.419,0
61,6365,3371,36,yes,self-employed,no,0,0.524,0
62,5853,3689,60,no,unemployed,no,2,0.158,0
42,6762,2685,36,no,employed,yes,2,0.235,0
22,4368,2065,36,yes,employed,yes,2,0.333,0
43,4072,7194,36,no,employed,no,3,0.392,0
30,8532,6140,24,no,self-employed,no,0,0.01,0
26,8744,6650,12,no,employed,no,2,0.092,0
27,4017,1970,48,no,employed,no,2,0.128,0
55,7935,11368,36,no,employed,no,5,0.371,0
45,5826,9823,24,no,employed,no,0,0.633,0
47,6679,9915,12,no,employed,yes,1,0.031,0
57,6920,8434,60,no,employed,no,3,0.494,0
47,7988,12140,12,no,employed,no,2,0.095,0
51,6165,5587,48,no,employed,no,0,0.662,0
25,8820,14017,36,no,employed,yes,0,0.255,0
62,6618,9912,36,no,employed,no,4,0.486,0
42,7248,2193,24,no,employed,no,3,0.214,0
28,4333,4470,24,yes,employed,no,2,0.582,1
60,10317,7190,36,no,employed,no,2,0.23,0
56,6939,2979,48,no,employed,no,3,0.133,0
23,7425,11652,24,no,employed,no,4,0.084,0
30,2783,868,36,no,employed,no,7,0.353,0
21,4354,6074,36,no,employed,yes,2,0.564,0
34,8475,15104,24,no,self-employed,no,3,0.07,0
25,6573,6724,36,no,employed,no,1,0.362,0
55,2172,1861,12,yes,employed,no,2,0.149,0
46,8076,9761,36,no,self-employed,no,0,0.116,0
69,4912,7402,12,no,employed,no,1,0.034,0
57,8822,5825,36,no,unemployed,no,1,0.278,0
50,5824,3937,24,no,employed,no,3,0.292,0
45,6409,7759,36,yes,unemployed,yes,1,0.596,0
23,8357,14288,36,no,self-employed,no,1,0.125,0
24,4205,3143,60,no,employed,yes,1,0.537,0
51,4014,3472,36,no,employed,no,2,0.074,0
21,5607,10036,60,no,self-employed,no,2,0.121,0
23,7654,4319,24,no,employed,no,1,0.165,0
31,3338,1386,36,no,employed,yes,0,0.055,0
64,2663,3154,12,yes,unemployed,no,1,0.147,0
43,7647,2572,36,yes,self-employed,no,0,0.393,0
55,4794,2735,48,no,unemployed,no,2,0.149,0
41,5215,6431,60,no,self-employed,no,3,0.532,0
29,2286,2947,36,yes,self-employed,no,2,0.214,0
39,4642,4946,48,yes,self-employed,no,3,0.223,0
25,5984,5239,24,no,employed,yes,3,0.01,0
58,7860,9151,12,no,unemployed,yes,2,0.19,1
29,4457,5638,48,yes,employed,no,1,0.221,0
39,9314,14019,24,no,employed,no,0,0.271,0
69,4630,6894,12,no,employed,yes,2,0.764,0
50,4633,6009,60,no,employed,yes,1,0.405,1
43,9074,14893,60,no,unemployed,no,0,0.162,0
47,6422,9999,48,no,employed,yes,1,0.319,0
59,4895,2446,36,yes,employed,no,0,0.309,0
33,5689,9870,60,no,employed,no,2,0.354,0
52,8706,14257,24,yes,employed,no,3,0.254,0
63,8932,6979,36,no,employed,yes,0,0.21,0
49,4366,1441,36,no,self-employed,yes,0,0.459,0
42,5915,7133,60,no,employed,yes,6,0.09,1
28,6180,5918,60,yes,employed,yes,1,0.109,0
33,4027,5735,48,no,employed,no,4,0.292,0
67,5888,6399,12,no,employed,no,2,0.415,0
47,6010,2492,36,yes,employed,yes,1,0.225,0
35,8280,5523,24,no,unemployed,no,3,0.31,0
41,8414,13662,60,no,unemployed,no,0,0.689,0
49,5341,1904,12,yes,self-employed,yes,3,0.264,0
47,5572,7828,12,no,employed,yes,0,0.045,0
55,7328,5407,48,no,employed,no,2,0.352,0
33,4829,4727,36,yes,unemployed,no,1,0.246,0
52,7177,7869,60,no,unemployed,no,0,0.491,0
42,5824,3931,12,no,employed,yes,0,0.249,0
67,4061,5189,60,no,self-employed,no,2,0.248,0
28,4086,5475,12,no,employed,yes,2,0.018,0
28,8894,3802,12,no,employed,yes,3,0.565,0
43,5687,4895,36,no,unemployed,no,1,0.102,0
45,9280,13145,24,no,unemployed,no,3,0.233,0
54,4972,6873,36,no,unemployed,yes,1,0.337,0
40,6582,7351,12,no,employed,yes,2,0.102,0
65,10785,15816,12,no,employed,no,3,0.241,0
44,3885,1792,48,no,unemployed,yes,1,0.43,0
27,2204,1052,24,no,self-employed,yes,1,0.353,0
26,8573,11026,48,no,employed,yes,1,0.372,0
68,4346,5823,48,no,employed,yes,2,0.205,0
27,5958,9066,12,no,employed,no,1,0.59,0
67,4828,2759,48,no,employed,yes,2,0.333,0
34,6536,7027,24,yes,unemployed,no,1,0.437,0
25,4098,5291,36,no,employed,no,1,0.244,0
35,5640,3584,12,no,employed,yes,5,0.47,0
51,6899,7419,60,no,employed,no,1,0.071,0
41,3983,5009,36,no,employed,yes,2,0.367,0
59,4599,2859,36,no,employed,no,2,0.397,0
50,5305,4580,60,no,employed,no,3,0.01,0
40,3142,1962,24,no,self-employed,no,1,0.306,0
52,5154,8526,60,no,employed,no,5,0.274,0
68,6237,4086,48,no,employed,no,3,0.269,0
41,5200,2502,60,no,employed,no,5,0.145,0
28,5457,1924,60,no,employed,no,6,0.058,0
41,5960,2189,60,yes,employed,yes,1,0.152,0
62,4688,2753,12,yes,self-employed,yes,2,0.187,1
31,7382,8949,48,no,employed,yes,1,0.272,0
67,8871,2896,60,no,employed,yes,2,0.148,0
49,5071,3702,48,no,employed,no,1,0.314,1
50,6970,2699,24,no,employed,no,5,0.511,0
36,5520,4998,60,no,employed,yes,1,0.275,0
66,6730,2509,24,no,employed,no,3,0.023,0
22,9131,11060,36,no,employed,no,3,0.23,0
35,7017,9351,36,no,employed,no,2,0.263,0
41,2453,3426,24,no,self-employed,no,3,0.395,0
44,6907,4396,48,no,employed,no,2,0.442,0
44,8465,13567,12,yes,unemployed,no,1,0.731,1
28,5556,7419,48,no,employed,yes,1,0.59,0
32,7991,3076,60,yes,employed,yes,6,0.169,0
25,4619,4439,24,yes,self-employed,no,2,0.135,1
49,3028,4395,48,no,employed,yes,1,0.42,0
38,6282,4814,24,no,unemployed,yes,2,0.1,0
48,2487,2169,60,no,unemployed,yes,3,0.451,0
49,5520,6869,60,yes,self-employed,no,1,0.284,0
55,8573,3285,24,no,employed,no,2,0.13,0
47,2180,3815,48,yes,unemployed,no,3,0.01,0
52,3441,1932,36,no,employed,no,3,0.496,0
49,3935,1337,36,no,unemployed,no,2,0.03,0
52,5873,1808,48,no,employed,no,5,0.268,0
51,5268,4737,36,no,unemployed,no,2,0.248,0
36,8798,14308,48,yes,self-employed,yes,1,0.186,1
33,7908,12096,24,yes,employed,yes,0,0.153,1
59,6990,11659,36,yes,unemployed,no,3,0.141,0
37,6291,6924,60,no,self-employed,no,3,0.383,0
47,6786,6603,12,no,unemployed,no,2,0.235,1
30,4276,3757,36,no,employed,no,3,0.553,0
42,7714,2851,24,no,employed,no,2,0.393,0
46,3775,6282,60,no,self-employed,yes,2,0.114,0
51,7670,8009,36,no,employed,no,3,0.409,0
46,8372,8226,36,yes,self-employed,no,0,0.094,0
38,6421,6888,24,no,self-employed,no,2,0.185,0
68,5647,8420,36,no,employed,yes,2,0.26,0
46,6800,4329,60,no,self-employed,yes,0,0.095,1
60,1500,2047,36,no,employed,no,0,0.134,0
57,6604,9022,36,no,self-employed,yes,0,0.571,0
48,5773,9088,48,no,unemployed,yes,1,0.348,0
64,5898,1846,36,no,employed,no,3,0.122,0
27,7413,4118,36,yes,employed,no,1,0.572,0
66,5850,5888,24,no,employed,yes,2,0.445,0
62,3719,5860,24,no,employed,no,2,0.412,0
45,5717,9991,48,yes,unemployed,yes,1,0.086,0
56,6135,7314,60,yes,employed,no,2,0.177,0
46,6229,3850,60,yes,employed,no,1,0.184,0
34,6323,3647,60,yes,employed,no,3,0.031,0
60,8078,10171,36,yes,self-employed,yes,4,0.327,0
33,3827,2354,24,yes,self-employed,no,0,0.11,0
36,6351,7174,48,no,employed,no,3,0.431,0
46,8579,13316,60,no,employed,no,3,0.319,0
62,2530,2238,48,no,employed,no,0,0.449,0
39,6359,5517,36,no,employed,yes,4,0.225,0
45,4829,1710,48,no,employed,yes,5,0.312,0
23,5258,3581,48,no,self-employed,no,4,0.508,0
26,4190,5645,60,no,employed,no,5,0.26,0
23,5660,4757,48,no,employed,yes,2,0.418,0
24,9682,5203,36,no,employed,yes,2,0.35,0
63,3471,1591,24,no,self-employed,yes,0,0.399,0
62,3660,1619,36,no,employed,yes,3,0.211,0
61,3396,4376,24,yes,employed,yes,2,0.25,0
23,9454,11523,60,yes,self-employed,no,3,0.065,0
24,5075,5469,36,no,employed,yes,2,0.105,0
34,5948,6248,36,yes,self-employed,no,0,0.084,0
48,5194,2751,24,yes,self-employed,yes,5,0.463,0
37,4111,4320,48,yes,unemployed,yes,2,0.01,0
44,5529,2155,36,no,employed,no,2,0.316,0
29,10916,18434,12,no,employed,yes,3,0.46,0
56,8784,3399,60,no,unemployed,yes,2,0.508,0
36,4294,4016,36,no,employed,no,4,0.217,0
24,7295,2194,36,no,employed,yes,3,0.151,0
57,4336,6413,24,no,employed,yes,0,0.428,0
65,2447,1344,36,no,employed,no,1,0.044,0
21,8039,13564,48,no,employed,no,2,0.107,0
42,8320,3044,60,yes,unemployed,no,3,0.462,1
61,8092,12390,12,no,self-employed,yes,4,0.352,0
55,5060,6501,60,yes,employed,yes,1,0.668,1
62,5666,3822,48,no,unemployed,no,2,0.209,0
41,7499,4526,24,no,self-employed,no,2,0.274,0
39,6782,5673,24,no,employed,yes,4,0.221,0
55,5212,8040,24,yes,self-employed,no,3,0.139,0
28,2761,4398,60,no,employed,no,1,0.149,0
32,6227,3505,24,no,employed,no,5,0.278,0
50,8158,6772,36,no,employed,no,3,0.045,0
53,3604,2365,48,no,employed,no,2,0.352,0
26,7277,3521,60,no,employed,no,3,0.084,0
45,6663,8459,48,no,employed,yes,0,0.148,0
38,7500,6141,48,yes,employed,no,1,0.269,0
45,7743,4940,24,no,employed,no,5,0.757,0
67,4611,7372,60,no,employed,no,0,0.238,0
24,2766,3934,24,no,self-employed,no,2,0.05,0
69,4932,7203,12,no,unemployed,yes,1,0.402,1
43,7778,2790,60,no,employed,no,3,0.244,0
